Interpro ID	Interpro Short Description	Interpro Description
IPR000006	Metalthion_vert	Metallothionein, vertebrate
IPR000008	C2_dom	C2 domain
IPR000014	PAS	PAS domain
IPR000033	LDLR_classB_rpt	LDLR class B repeat
IPR000048	IQ_motif_EF-hand-BS	IQ motif, EF-hand binding site
IPR000061	Surp	SWAP/Surp
IPR000091	Huntingtin	Huntingtin
IPR000095	CRIB_dom	CRIB domain
IPR000102	MAP1B_neuraxin	Neuraxin/MAP1B repeat
IPR000142	P2Y1_rcpt	P2Y1 purinoceptor
IPR000152	EGF-type_Asp/Asn_hydroxyl_site	EGF-type aspartate/asparagine hydroxylation site
IPR000157	TIR_dom	Toll/interleukin-1 receptor homology (TIR) domain
IPR000159	Ras-assoc	Ras-association
IPR000162	GPCR_3_mtglu_rcpt	GPCR, family 3, metabotropic glutamate receptor
IPR000163	Prohibitin	Prohibitin
IPR000175	Na/ntran_symport	Sodium:neurotransmitter symporter
IPR000198	RhoGAP_dom	Rho GTPase-activating protein domain
IPR000202	GPCR_3_mtglu_rcpt_5	GPCR, family 3, metabotropic glutamate receptor 5
IPR000203	GPS_dom	GPS domain
IPR000210	BTB/POZ-like	BTB/POZ-like
IPR000218	Ribosomal_L14b/L23e	Ribosomal protein L14b/L23e
IPR000219	DH-domain	Dbl homology (DH) domain
IPR000225	Armadillo	Armadillo
IPR000231	Ribosomal_L30e	Ribosomal protein L30e
IPR000233	Cadherin_cytoplasmic-dom	Cadherin, cytoplasmic domain
IPR000239	GPCR_kinase	GPCR kinase
IPR000242	Tyr_Pase_rcpt/non-rcpt	Protein-tyrosine phosphatase, receptor/non-receptor type
IPR000270	OPR_PB1	Phox/Bem1p
IPR000276	GPCR_Rhodpsn	G protein-coupled receptor, rhodopsin-like
IPR000299	FERM_domain	FERM domain
IPR000308	14-3-3	14-3-3 protein
IPR000312	Glycosyl_Trfase_fam3	Glycosyl transferase, family 3
IPR000321	Delta_opi_rcpt	Delta opioid receptor
IPR000326	P_Acid_Pase_2/haloperoxidase	Phosphatidic acid phosphatase type 2/haloperoxidase
IPR000331	Rap_GAP_dom	Rap GTPase activating protein domain
IPR000333	TGFB_receptor	Ser/Thr protein kinase, TGFB receptor
IPR000337	GPCR_3	GPCR, family 3
IPR000340	Dual-sp_phosphatase_cat-dom	Dual specificity phosphatase, catalytic domain
IPR000372	LRR-contain_N	Leucine-rich repeat-containing N-terminal
IPR000375	Dynamin_central	Dynamin central domain
