Interpro Short Description	Interpro Description	Interpro ID
Metalthion_vert	Metallothionein, vertebrate	IPR000006
C2_dom	C2 domain	IPR000008
PAS	PAS domain	IPR000014
LDLR_classB_rpt	LDLR class B repeat	IPR000033
IQ_motif_EF-hand-BS	IQ motif, EF-hand binding site	IPR000048
CRIB_dom	CRIB domain	IPR000095
MAP1B_neuraxin	Neuraxin/MAP1B repeat	IPR000102
P2Y1_rcpt	P2Y1 purinoceptor	IPR000142
EGF-type_Asp/Asn_hydroxyl_site	EGF-type aspartate/asparagine hydroxylation site	IPR000152
TIR_dom	Toll/interleukin-1 receptor homology (TIR) domain	IPR000157
GPCR_3_mtglu_rcpt	GPCR, family 3, metabotropic glutamate receptor	IPR000162
Prohibitin	Prohibitin	IPR000163
Na/ntran_symport	Sodium:neurotransmitter symporter	IPR000175
RhoGAP_dom	Rho GTPase-activating protein domain	IPR000198
GPCR_3_mtglu_rcpt_5	GPCR, family 3, metabotropic glutamate receptor 5	IPR000202
GPS_dom	GPS domain	IPR000203
BTB/POZ-like	BTB/POZ-like	IPR000210
DH-domain	Dbl homology (DH) domain	IPR000219
Armadillo	Armadillo	IPR000225
Ribosomal_L30e	Ribosomal protein L30e	IPR000231
Cadherin_cytoplasmic-dom	Cadherin, cytoplasmic domain	IPR000233
Tyr_Pase_rcpt/non-rcpt	Protein-tyrosine phosphatase, receptor/non-receptor type	IPR000242
OPR_PB1	Phox/Bem1p	IPR000270
GPCR_Rhodpsn	G protein-coupled receptor, rhodopsin-like	IPR000276
FERM_domain	FERM domain	IPR000299
Delta_opi_rcpt	Delta opioid receptor	IPR000321
P_Acid_Pase_2/haloperoxidase	Phosphatidic acid phosphatase type 2/haloperoxidase	IPR000326
Rap_GAP_dom	Rap GTPase activating protein domain	IPR000331
TGFB_receptor	Ser/Thr protein kinase, TGFB receptor	IPR000333
GPCR_3	GPCR, family 3	IPR000337
LRR-contain_N	Leucine-rich repeat-containing N-terminal	IPR000372
Dynamin_central	Dynamin central domain	IPR000375
Tyr/Dual-sp_Pase	Protein-tyrosine/Dual specificity phosphatase	IPR000387
Reg_chr_condens	Regulator of chromosome condensation, RCC1	IPR000408
Integrin_alpha	Integrin alpha chain	IPR000413
Znf_ZZ	Zinc finger, ZZ-type	IPR000433
Neuroligin	Neuroligin	IPR000460
Fatty_acid-bd	Cytosolic fatty-acid binding	IPR000463
