Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Tissue specificity	Topological domain	Transmembrane	Subcellular location [CC]	Helix	Turn	Beta strand	RefSeq	BioGRID	STRING	Intramembrane
A0A2I0BVG8	reviewed	CDPK1_PLAFO	Calcium-dependent protein kinase 1 (EC 2.7.11.1) (PfCDPK1)	PDCK1 CK202_3261	Plasmodium falciparum (isolate NF54)	524				SUBCELLULAR LOCATION: Membrane {ECO:0000250|UniProtKB:P62344}; Lipid-anchor {ECO:0000250|UniProtKB:P62344}. Cell membrane {ECO:0000269|PubMed:29311293}; Lipid-anchor {ECO:0000250|UniProtKB:P62344}; Cytoplasmic side {ECO:0000250|UniProtKB:P62344}. Parasitophorous vacuole membrane {ECO:0000250|UniProtKB:P62344}; Lipid-anchor {ECO:0000250|UniProtKB:P62344}. Cytoplasm {ECO:0000269|PubMed:29311293}. Cell projection, cilium, flagellum {ECO:0000269|PubMed:29311293}. Host cell membrane {ECO:0000250|UniProtKB:P62344}; Lipid-anchor {ECO:0000250|UniProtKB:P62344}. Note=Localizes to the host erythrocytic membrane at low level (By similarity). Localizes to the cell membrane in the nascent merozoites contained within the late-stage schizonts and in free merozoites. Colocalizes with MTIP around developing merozoites in segmented schizonts, also localizes in membranes around the mature food vacuole/residual body of the schizonts. Ser-64 phosphorylated form localizes at the apical pole in punctate structures in merozoites within late schizonts in free merozoites. In trophozoites and schizonts, localizes to the parasitophorous vacuole (PV) and in membranous systems derived from the PV including intraparasitic vacuoles and the tubovesicular system, an extension of the parasitophorous vacuole membrane into the host cell cytoplasm. Localization to the cytoplasm in trophozoite or schizonts is minimal (By similarity). In female stage V gametocytes and gametes, localizes to the cell membrane. In stage V male gametocytes, localizes to the cell membrane and in the cytoplasm. In male gametes, localizes to the residual body, cell membrane and in the flagella (PubMed:29311293). Calcium and/or autophosphorylation does not affect membrane localization (By similarity). {ECO:0000250|UniProtKB:P62343, ECO:0000250|UniProtKB:P62344, ECO:0000269|PubMed:29311293}.							
A0A509AFG4	reviewed	CDPK3_PLABA	Calcium-dependent protein kinase 3 (EC 2.7.11.1) (PbCDPK3)	CDPK3 PBANKA_0408200	Plasmodium berghei (strain Anka)	554				SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:16430692}.				XP_675146.1;		5823.A0A509AFG4;	
A0A509AHB6	reviewed	CDPK1_PLABA	Calcium-dependent protein kinase 1 (EC 2.7.11.1) (PbCDPK1)	CDPK1 PBANKA_0314200	Plasmodium berghei (strain Anka)	523				SUBCELLULAR LOCATION: Membrane {ECO:0000250|UniProtKB:P62344}; Lipid-anchor {ECO:0000250|UniProtKB:P62344}. Cell membrane {ECO:0000269|PubMed:22817984}; Lipid-anchor {ECO:0000250|UniProtKB:P62344}; Cytoplasmic side {ECO:0000250|UniProtKB:P62344}. Parasitophorous vacuole membrane {ECO:0000250|UniProtKB:P62344}; Lipid-anchor {ECO:0000250|UniProtKB:P62344}. Cytoplasm {ECO:0000250|UniProtKB:A0A2I0BVG8}. Cell projection, cilium, flagellum {ECO:0000250|UniProtKB:A0A2I0BVG8}. Host cell membrane {ECO:0000250|UniProtKB:P62344}; Lipid-anchor {ECO:0000250|UniProtKB:P62344}. Note=Calcium and/or autophosphorylation does not affect membrane localization. {ECO:0000250|UniProtKB:P62344}.				XP_675880.1;		5823.A0A509AHB6;	
A0A509AQE6	reviewed	CDPK5_PLABA	Calcium-dependent protein kinase 5 (EC 2.7.11.1) (PbCDPK5)	CDPK5 PBANKA_1351500	Plasmodium berghei (strain Anka)	562				SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:A0A5K1K8H0}. Cytoplasmic vesicle, secretory vesicle, microneme membrane {ECO:0000250|UniProtKB:A0A5K1K8H0}; Peripheral membrane protein {ECO:0000250|UniProtKB:A0A5K1K8H0}; Cytoplasmic side {ECO:0000250|UniProtKB:A0A5K1K8H0}. Cell membrane {ECO:0000250|UniProtKB:A0A5K1K8H0}; Peripheral membrane protein {ECO:0000250|UniProtKB:A0A5K1K8H0}; Cytoplasmic side {ECO:0000250|UniProtKB:A0A5K1K8H0}. Note=During the late stages of schizogony, localizes to the cytoplasm in immature daughter merozoites, co-localizes with AMA1 to a subset of micronemes and to the apical region in maturing daughter merozoites, and near the plasma membrane in mature daughter and free merozoites. {ECO:0000250|UniProtKB:A0A5K1K8H0}.						5821.PBANKA_135150;	
A0A5K1K8H0	reviewed	CDPK5_PLAF7	Calcium-dependent protein kinase 5 (EC 2.7.11.1) (PfCDPK5)	CDPK5 PF3D7_1337800	Plasmodium falciparum (isolate 3D7)	568				SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:29487234}. Cytoplasmic vesicle, secretory vesicle, microneme membrane {ECO:0000269|PubMed:29487234}; Peripheral membrane protein {ECO:0000269|PubMed:29487234}; Cytoplasmic side {ECO:0000269|PubMed:29487234}. Cell membrane {ECO:0000269|PubMed:20466936, ECO:0000269|PubMed:29487234, ECO:0000269|PubMed:31915223}; Peripheral membrane protein {ECO:0000303|PubMed:20466936}; Cytoplasmic side {ECO:0000305}. Note=During the late stages of schizogony, localizes to the cytoplasm in immature daughter merozoites, co-localizes with AMA1 to a subset of micronemes and to the apical region in maturing daughter merozoites, and near the plasma membrane in mature daughter and free merozoites. {ECO:0000269|PubMed:29487234}.				XP_001350105.1;		5833.PF13_0211;	
A0AAR7	reviewed	CCAMK_LOTJA	Calcium and calcium/calmodulin-dependent serine/threonine-protein kinase (LjCCaMK) (EC 2.7.11.17)	CCAMK	Lotus japonicus (Lotus corniculatus var. japonicus)	518	TISSUE SPECIFICITY: Mainly expressed in roots and nodules. Detected in leaves, stems and cotyledons. {ECO:0000269|PubMed:16810257}.			SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:19074278, ECO:0000269|PubMed:21209278}.							
A0JN54	reviewed	DGKA_BOVIN	Diacylglycerol kinase alpha (DAG kinase alpha) (EC 2.7.1.107) (Diglyceride kinase alpha) (DGK-alpha)	DGKA	Bos taurus (Bovine)	734				SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000250|UniProtKB:P23743}.				NP_001071328.1;XP_005206587.2;		9913.ENSBTAP00000038002;	
A2AP18	reviewed	PLCH2_MOUSE	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-2 (EC 3.1.4.11) (Phosphoinositide phospholipase C-eta-2) (Phosphoinositide phospholipase C-like 4) (PLC-L4) (Phospholipase C-like protein 4) (Phospholipase C-eta-2) (PLC-eta2)	Plch2 Plcl4	Mus musculus (Mouse)	1501	TISSUE SPECIFICITY: Specifically detected in the brain, with higher level in cerebral cortex, olfactory bulb and hippocampus (at protein level). Expressed in the pyramidal cells of the hippocampus, but also in eye and lung. {ECO:0000269|PubMed:15899900, ECO:0000269|PubMed:16107206}.			SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:15899900}. Cell membrane {ECO:0000269|PubMed:15899900}. Note=Localized predominantly at the plasma membrane. {ECO:0000269|PubMed:15899900}.				NP_001106831.1 [A2AP18-1];NP_780765.2;		10090.ENSMUSP00000101256;	
A2VEI2	reviewed	MICU1_DROME	Calcium uptake protein 1 homolog, mitochondrial (Mitochondrial calcium uptake 1)	MICU1 CG4495	Drosophila melanogaster (Fruit fly)	525		TOPO_DOM 98..525; /note="Mitochondrial intermembrane"; /evidence="ECO:0000305"	TRANSMEM 77..97; /note="Helical"; /evidence="ECO:0000255"	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250|UniProtKB:Q9BPX6}; Single-pass membrane protein {ECO:0000255}. Mitochondrion intermembrane space {ECO:0000250|UniProtKB:Q9BPX6}. Note=The topology is subject to debate. {ECO:0000250|UniProtKB:Q9BPX6}.				NP_001097110.1 [A2VEI2-1];NP_609100.1 [A2VEI2-2];	60145;	7227.FBpp0111941;	
A2ZVI7	reviewed	CDPK1_ORYSJ	Calcium-dependent protein kinase 1 (OsCDPK1) (OsCPK1) (EC 2.7.11.1)	CPK1 Os01g0622600 LOC_Os01g43410 OsJ_02652 P0501G01.10	Oryza sativa subsp. japonica (Rice)	518	TISSUE SPECIFICITY: Expressed in roots and leaf blades. {ECO:0000269|PubMed:15695435}.			SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Lipid-anchor {ECO:0000305}.				XP_015650814.1;		4530.OS01T0622600-01;	
