Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Intramembrane	Subcellular location [CC]	Topological domain	Transmembrane	Beta strand	Helix	Turn	RefSeq	BioGRID	STRING	Tissue specificity
A0A2I0BVG8	reviewed	CDPK1_PLAFO	Calcium-dependent protein kinase 1 (EC 2.7.11.1) (PfCDPK1)	PDCK1 CK202_3261	Plasmodium falciparum (isolate NF54)	524		SUBCELLULAR LOCATION: Membrane {ECO:0000250|UniProtKB:P62344}; Lipid-anchor {ECO:0000250|UniProtKB:P62344}. Cell membrane {ECO:0000269|PubMed:29311293}; Lipid-anchor {ECO:0000250|UniProtKB:P62344}; Cytoplasmic side {ECO:0000250|UniProtKB:P62344}. Parasitophorous vacuole membrane {ECO:0000250|UniProtKB:P62344}; Lipid-anchor {ECO:0000250|UniProtKB:P62344}. Cytoplasm {ECO:0000269|PubMed:29311293}. Cell projection, cilium, flagellum {ECO:0000269|PubMed:29311293}. Host cell membrane {ECO:0000250|UniProtKB:P62344}; Lipid-anchor {ECO:0000250|UniProtKB:P62344}. Note=Localizes to the host erythrocytic membrane at low level (By similarity). Localizes to the cell membrane in the nascent merozoites contained within the late-stage schizonts and in free merozoites. Colocalizes with MTIP around developing merozoites in segmented schizonts, also localizes in membranes around the mature food vacuole/residual body of the schizonts. Ser-64 phosphorylated form localizes at the apical pole in punctate structures in merozoites within late schizonts in free merozoites. In trophozoites and schizonts, localizes to the parasitophorous vacuole (PV) and in membranous systems derived from the PV including intraparasitic vacuoles and the tubovesicular system, an extension of the parasitophorous vacuole membrane into the host cell cytoplasm. Localization to the cytoplasm in trophozoite or schizonts is minimal (By similarity). In female stage V gametocytes and gametes, localizes to the cell membrane. In stage V male gametocytes, localizes to the cell membrane and in the cytoplasm. In male gametes, localizes to the residual body, cell membrane and in the flagella (PubMed:29311293). Calcium and/or autophosphorylation does not affect membrane localization (By similarity). {ECO:0000250|UniProtKB:P62343, ECO:0000250|UniProtKB:P62344, ECO:0000269|PubMed:29311293}.									
A0A509AFG4	reviewed	CDPK3_PLABA	Calcium-dependent protein kinase 3 (EC 2.7.11.1) (PbCDPK3)	CDPK3 PBANKA_0408200	Plasmodium berghei (strain Anka)	554		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:16430692}.						XP_675146.1;		5823.A0A509AFG4;	
A0A509AHB6	reviewed	CDPK1_PLABA	Calcium-dependent protein kinase 1 (EC 2.7.11.1) (PbCDPK1)	CDPK1 PBANKA_0314200	Plasmodium berghei (strain Anka)	523		SUBCELLULAR LOCATION: Membrane {ECO:0000250|UniProtKB:P62344}; Lipid-anchor {ECO:0000250|UniProtKB:P62344}. Cell membrane {ECO:0000269|PubMed:22817984}; Lipid-anchor {ECO:0000250|UniProtKB:P62344}; Cytoplasmic side {ECO:0000250|UniProtKB:P62344}. Parasitophorous vacuole membrane {ECO:0000250|UniProtKB:P62344}; Lipid-anchor {ECO:0000250|UniProtKB:P62344}. Cytoplasm {ECO:0000250|UniProtKB:A0A2I0BVG8}. Cell projection, cilium, flagellum {ECO:0000250|UniProtKB:A0A2I0BVG8}. Host cell membrane {ECO:0000250|UniProtKB:P62344}; Lipid-anchor {ECO:0000250|UniProtKB:P62344}. Note=Calcium and/or autophosphorylation does not affect membrane localization. {ECO:0000250|UniProtKB:P62344}.						XP_675880.1;		5823.A0A509AHB6;	
A0A509AQE6	reviewed	CDPK5_PLABA	Calcium-dependent protein kinase 5 (EC 2.7.11.1) (PbCDPK5)	CDPK5 PBANKA_1351500	Plasmodium berghei (strain Anka)	562		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:A0A5K1K8H0}. Cytoplasmic vesicle, secretory vesicle, microneme membrane {ECO:0000250|UniProtKB:A0A5K1K8H0}; Peripheral membrane protein {ECO:0000250|UniProtKB:A0A5K1K8H0}; Cytoplasmic side {ECO:0000250|UniProtKB:A0A5K1K8H0}. Cell membrane {ECO:0000250|UniProtKB:A0A5K1K8H0}; Peripheral membrane protein {ECO:0000250|UniProtKB:A0A5K1K8H0}; Cytoplasmic side {ECO:0000250|UniProtKB:A0A5K1K8H0}. Note=During the late stages of schizogony, localizes to the cytoplasm in immature daughter merozoites, co-localizes with AMA1 to a subset of micronemes and to the apical region in maturing daughter merozoites, and near the plasma membrane in mature daughter and free merozoites. {ECO:0000250|UniProtKB:A0A5K1K8H0}.								5821.PBANKA_135150;	
A0A5K1K8H0	reviewed	CDPK5_PLAF7	Calcium-dependent protein kinase 5 (EC 2.7.11.1) (PfCDPK5)	CDPK5 PF3D7_1337800	Plasmodium falciparum (isolate 3D7)	568		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:29487234}. Cytoplasmic vesicle, secretory vesicle, microneme membrane {ECO:0000269|PubMed:29487234}; Peripheral membrane protein {ECO:0000269|PubMed:29487234}; Cytoplasmic side {ECO:0000269|PubMed:29487234}. Cell membrane {ECO:0000269|PubMed:20466936, ECO:0000269|PubMed:29487234, ECO:0000269|PubMed:31915223}; Peripheral membrane protein {ECO:0000303|PubMed:20466936}; Cytoplasmic side {ECO:0000305}. Note=During the late stages of schizogony, localizes to the cytoplasm in immature daughter merozoites, co-localizes with AMA1 to a subset of micronemes and to the apical region in maturing daughter merozoites, and near the plasma membrane in mature daughter and free merozoites. {ECO:0000269|PubMed:29487234}.						XP_001350105.1;		5833.PF13_0211;	
A0AAR7	reviewed	CCAMK_LOTJA	Calcium and calcium/calmodulin-dependent serine/threonine-protein kinase (LjCCaMK) (EC 2.7.11.17)	CCAMK	Lotus japonicus (Lotus corniculatus var. japonicus)	518		SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:19074278, ECO:0000269|PubMed:21209278}.									TISSUE SPECIFICITY: Mainly expressed in roots and nodules. Detected in leaves, stems and cotyledons. {ECO:0000269|PubMed:16810257}.
A0AVX7	reviewed	CHP3_CHICK	Calcineurin B homologous protein 3 (Tescalcin) (TSC)	TESC CHP3	Gallus gallus (Chicken)	214		SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:19345287}. Cytoplasm {ECO:0000269|PubMed:19345287}. Membrane {ECO:0000250|UniProtKB:Q96BS2}; Lipid-anchor {ECO:0000250|UniProtKB:Q96BS2}. Cell membrane {ECO:0000250|UniProtKB:Q96BS2}. Cell projection, lamellipodium {ECO:0000250|UniProtKB:Q96BS2}. Cell projection, ruffle membrane {ECO:0000250|UniProtKB:Q9JKL5}. Note=Expressed in both the nucleus and cytoplasm of the embryonic testis. {ECO:0000269|PubMed:19345287}.						NP_001074353.1;		9031.ENSGALP00000013348;	TISSUE SPECIFICITY: Expressed in the bipotential gonad by E4.5 and expressed in both the testis and ovary by E5.5, but with expression higher in the testis. Expressed in the testis cords but also at low levels in the interstitium. In the ovary, expression is principally in the ovarian cortex, but also in the medulla. Also expressed in the embryonic brain, with expression highest in the region between the nasal placode and olfactory bulb. Also expressed in the embryonic heart and tail. {ECO:0000269|PubMed:19345287}.
A0JN54	reviewed	DGKA_BOVIN	Diacylglycerol kinase alpha (DAG kinase alpha) (EC 2.7.1.107) (Diglyceride kinase alpha) (DGK-alpha)	DGKA	Bos taurus (Bovine)	734		SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000250|UniProtKB:P23743}.						NP_001071328.1;XP_005206587.2;		9913.ENSBTAP00000038002;	
A2A259	reviewed	PK2L1_MOUSE	Polycystic kidney disease 2-like 1 protein (Polycystin-2 homolog)	Pkd2l1 Trpp3	Mus musculus (Mouse)	760	INTRAMEM 512..526; /note="Pore-forming"; /evidence="ECO:0000305|PubMed:29567962"	SUBCELLULAR LOCATION: Cell projection, cilium membrane {ECO:0000269|PubMed:24336288, ECO:0000269|PubMed:24336289}; Multi-pass membrane protein {ECO:0000269|PubMed:29567962}. Cell membrane {ECO:0000269|PubMed:15548533, ECO:0000269|PubMed:16891422, ECO:0000269|PubMed:18535624, ECO:0000269|PubMed:19464260, ECO:0000269|PubMed:20406802, ECO:0000269|PubMed:20538909, ECO:0000269|PubMed:21185261, ECO:0000269|PubMed:22420714, ECO:0000269|PubMed:25820328}; Multi-pass membrane protein {ECO:0000269|PubMed:29567962}. Cytoplasmic vesicle {ECO:0000305|PubMed:20538909}. Note=Interaction with PKD1 or PKD1L3 is required for localization to the cell membrane. {ECO:0000269|PubMed:15548533, ECO:0000269|PubMed:16891422, ECO:0000269|PubMed:20538909, ECO:0000269|PubMed:21185261}.	TOPO_DOM 1..103; /note="Cytoplasmic"; /evidence="ECO:0000305|PubMed:29567962"; TOPO_DOM 125..356; /note="Extracellular"; /evidence="ECO:0000305|PubMed:29567962"; TOPO_DOM 377..384; /note="Cytoplasmic"; /evidence="ECO:0000305|PubMed:29567962"; TOPO_DOM 406..433; /note="Extracellular"; /evidence="ECO:0000305|PubMed:29567962"; TOPO_DOM 455..479; /note="Cytoplasmic"; /evidence="ECO:0000305|PubMed:29567962"; TOPO_DOM 500..511; /note="Extracellular"; /evidence="ECO:0000305|PubMed:29567962"; TOPO_DOM 527..536; /note="Extracellular"; /evidence="ECO:0000305|PubMed:29567962"; TOPO_DOM 558..760; /note="Cytoplasmic"; /evidence="ECO:0000305|PubMed:29567962"	TRANSMEM 104..124; /note="Helical"; /evidence="ECO:0000305|PubMed:29567962"; TRANSMEM 357..376; /note="Helical"; /evidence="ECO:0000305|PubMed:29567962"; TRANSMEM 385..405; /note="Helical"; /evidence="ECO:0000305|PubMed:29567962"; TRANSMEM 434..454; /note="Helical"; /evidence="ECO:0000305|PubMed:29567962"; TRANSMEM 480..499; /note="Helical"; /evidence="ECO:0000305|PubMed:29567962"; TRANSMEM 537..557; /note="Helical"; /evidence="ECO:0000305|PubMed:29567962"	STRAND 192..194; /evidence="ECO:0007829|PDB:7D7F"; STRAND 199..204; /evidence="ECO:0007829|PDB:7D7F"; STRAND 242..246; /evidence="ECO:0007829|PDB:7D7F"; STRAND 261..265; /evidence="ECO:0007829|PDB:5Z1W"; STRAND 269..273; /evidence="ECO:0007829|PDB:7D7F"; STRAND 298..309; /evidence="ECO:0007829|PDB:7D7F"; STRAND 314..323; /evidence="ECO:0007829|PDB:7D7F"; STRAND 331..339; /evidence="ECO:0007829|PDB:7D7F"; STRAND 345..348; /evidence="ECO:0007829|PDB:7D7F"; STRAND 377..379; /evidence="ECO:0007829|PDB:7D7E"; STRAND 383..385; /evidence="ECO:0007829|PDB:7D7F"; STRAND 422..424; /evidence="ECO:0007829|PDB:5Z1W"; STRAND 470..472; /evidence="ECO:0007829|PDB:7D7F"; STRAND 499..502; /evidence="ECO:0007829|PDB:7D7F"	HELIX 102..119; /evidence="ECO:0007829|PDB:7D7F"; HELIX 124..126; /evidence="ECO:0007829|PDB:7D7F"; HELIX 127..137; /evidence="ECO:0007829|PDB:7D7F"; HELIX 154..162; /evidence="ECO:0007829|PDB:7D7F"; HELIX 164..169; /evidence="ECO:0007829|PDB:7D7F"; HELIX 214..216; /evidence="ECO:0007829|PDB:7D7F"; HELIX 250..253; /evidence="ECO:0007829|PDB:7D7F"; HELIX 278..290; /evidence="ECO:0007829|PDB:7D7F"; HELIX 349..367; /evidence="ECO:0007829|PDB:7D7F"; HELIX 372..376; /evidence="ECO:0007829|PDB:7D7F"; HELIX 380..382; /evidence="ECO:0007829|PDB:7D7F"; HELIX 386..420; /evidence="ECO:0007829|PDB:7D7F"; HELIX 429..451; /evidence="ECO:0007829|PDB:7D7F"; HELIX 467..469; /evidence="ECO:0007829|PDB:7D7F"; HELIX 477..498; /evidence="ECO:0007829|PDB:7D7F"; HELIX 509..520; /evidence="ECO:0007829|PDB:7D7F"; HELIX 526..532; /evidence="ECO:0007829|PDB:7D7F"; HELIX 536..574; /evidence="ECO:0007829|PDB:7D7F"	TURN 189..191; /evidence="ECO:0007829|PDB:7D7F"; TURN 217..219; /evidence="ECO:0007829|PDB:7D7F"; TURN 310..313; /evidence="ECO:0007829|PDB:7D7F"; TURN 368..371; /evidence="ECO:0007829|PDB:7D7F"; TURN 452..456; /evidence="ECO:0007829|PDB:7D7F"; TURN 462..464; /evidence="ECO:0007829|PDB:7D7F"; TURN 474..476; /evidence="ECO:0007829|PDB:7D7F"	NP_852087.2;	236700;	10090.ENSMUSP00000045675;	TISSUE SPECIFICITY: Detected in kidney, testis and brain, (PubMed:25820328). Expressed in all 4 taste areas in taste buds. Detected in the taste pore region of circumvallate papillae, foliate papillae, fungiform papillae and palate (PubMed:16891422, PubMed:16929298, PubMed:20538909, PubMed:21625513). Expressed in cells distinct from those mediating sweet, umami and bitter taste (at protein level) (PubMed:16891422). Expressed in type III taste cells (at protein level) (PubMed:18156604). Ubiquitous (PubMed:15548533). Detected in circumvallate, foliate, fungiform and palate taste buds, in cells distinct from those mediating sweet, umami and bitter taste (PubMed:16929298, PubMed:21625513). Detected in taste tissues and testis (PubMed:16891422). {ECO:0000269|PubMed:15548533, ECO:0000269|PubMed:16891422, ECO:0000269|PubMed:16929298, ECO:0000269|PubMed:18156604, ECO:0000269|PubMed:20538909, ECO:0000269|PubMed:21625513, ECO:0000269|PubMed:25820328}.
A2AP18	reviewed	PLCH2_MOUSE	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-2 (EC 3.1.4.11) (Phosphoinositide phospholipase C-eta-2) (Phosphoinositide phospholipase C-like 4) (PLC-L4) (Phospholipase C-like protein 4) (Phospholipase C-eta-2) (PLC-eta2)	Plch2 Plcl4	Mus musculus (Mouse)	1501		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:15899900}. Cell membrane {ECO:0000269|PubMed:15899900}. Note=Localized predominantly at the plasma membrane. {ECO:0000269|PubMed:15899900}.						NP_001106831.1 [A2AP18-1];NP_780765.2;		10090.ENSMUSP00000101256;	TISSUE SPECIFICITY: Specifically detected in the brain, with higher level in cerebral cortex, olfactory bulb and hippocampus (at protein level). Expressed in the pyramidal cells of the hippocampus, but also in eye and lung. {ECO:0000269|PubMed:15899900, ECO:0000269|PubMed:16107206}.
